HospitalName,Address,District,,
CHC - Vembakkam GH,"ARNI PATTAI ROAD,VEMBAKKAM",Tiruvannamalai,,
CCC - ACS CCC,"Poonamallee High Rd, ,Velappanchavadi, Chennai, Tamil Nadu 600077,Chennai, Tamil Nadu 600077,Tiruvallur",Tiruvallur,,
CHC - ACS Medical College Hospital,"POONAMALLEE HIGH  ROAD, VELAPPANCHAVADI, CHENNAI-77,VELAPPANCHAVADI, CHENNAI-77,VELAPPANCHAVADI,Poonamallee",Tiruvallur,,
CHO - Aakash Hospital,"393/1, T.H.Road ,Thiruvottiyur,Tiruvallur",Tiruvallur,,
CHO - Apollo Hospital Vanagaram,"64, OFF PH ROAD, VANAGARAM TO AMBATTUR MAIN ROAD, NEAR SRIVAARU KALYANA MANDAPAM, AYANAMBAKKAM,AYANAMBAKKAM,Poonamallee",Tiruvallur,,
 CCC - Athimanjeripet UGPHC Iccc,,Tiruvallur,,
CHC - Avadi GH,"Bus Stop, Ramarathna Theatre, ,New Military Rd, Thirumalai Rajapuram, , Avadi, Tamil Nadu 600054,Tiruvallur",Tiruvallur,,
"CHC - Be Well Hospital, Poonnamallee ","186, TRUNK ROAD,POONAMALLEE,Poonamallee",Tiruvallur,,
CCC - Beerakuppam,"CHITOOR ROAD,Tiruttani",Tiruvallur,,
 CCC - Budur,,Tiruvallur,,
"CHC - Chennai Health Foundation, Ambatur"," Vivekananda Nagar, Ambattur, Chennai, Tamil Nadu 600053,ambathur,Ponneri",Tiruvallur,,
CCC - Cherian Mediville CCC,"Elavur village , Gummidipoondi, Gummidipoondi,Gummidipoondi",Tiruvallur,,
CCC - DD CCC,"6, Jaya Nagar, Kunnavalam, , NH-205, Chennai Thiruttani Renigunta Highway, ,Thiruvallur, Tamil Nadu 631203,Tiruvallur",Tiruvallur,,
CCC - Dr.Ambedkar law college pattaraiperumbudhur,"Narayanapuram Pattaraiperumpudhur, ,Thiruvallur 631210,Thiruvallur ,Tiruvallur",Tiruvallur,,
 CCC - Eguvarpalayam,,Tiruvallur,,
CCC - IPH Poonamallee,"Amman Koil St, ,Poonamallee, Chennai, Tamil Nadu 600056,Poonamallee, Chennai, Tamil Nadu 600056,Tiruvallur",Tiruvallur,,
 CCC - Katchur,,Tiruvallur,,
 CCC - Kollumedu,,Tiruvallur,,
"CHO - MMRV Hospital, Azhinjivakkam","1/204 B, GNT Road, Ponneri Taluk, Chennai - 600067, Tamilnadu, India.,Azhijivakkam,Ponneri",Tiruvallur,,
CHO - Mehta Hospital,"No.50, Poonamallee High Rd, Velappanchavadi, Thiruverkadu, Chennai, Tamil Nadu 600077,Poonamallee",Tiruvallur,,
 CCC - Minjur UGPHC Iccc,,Tiruvallur,,
CHO - NMCH -Tiruvallur,"J.N.ROAD,THIRUVALLUR,THIRUVALLUR,Tiruvallur",Tiruvallur,,
 CCC - Naravarikuppam,,Tiruvallur,,
 CCC - Nemam,,Tiruvallur,,
CHC - PANIMALAR CHC,"NASARTHPET,Poonamallee",Tiruvallur,,
CCC - Panimalar Medical College,"Varadharajapuram,, Poonamallee,, Chennai, Tamil Nadu 600123",Tiruvallur,,
CHO - Panimalar Medical College Hospital & Research Institute,"VARADHARAJAPURAM,POONAMALLEE,CHENNAI,Tiruvallur",Tiruvallur,,
"CHC - Peacock Hospitals Pvt Ltd, Tiruttani","5, Arakkonam Rd, JJ Nagar, Steward Pet, Thiruttani, Tamil Nadu 631209,Thiruthani,Tiruttani",Tiruvallur,,
 CCC - Perambakkam UGPHC Iccc,,Tiruvallur,,
 CCC - Periyapalayam UGPHC Iccc,,Tiruvallur,,
CHC - Ponneri GH,"Rail way Station Road ,    , Ponneri ,  Pincode -601204",Tiruvallur,,
 CCC - R.K.Pet,,Tiruvallur,,
" CHC - RIMS Hospitals, Redhills","4/833, GNT Road, Padiyanallur,Redhills, Chennai - 600 052,Ponneri",Tiruvallur,,
CHC - Raj Nursing Home Mogappair East,"1/234, MMDA, JJ NAGAR, MOGAPPAIR EAST, CHENNAI 37,Ambattur",Tiruvallur,,
CHC - Ravina Health Care Pvt Ltd,"VOC Nagar Main Road, No:99, Poonamallee High Rd, Maduravoyal, Chennai, Tamil Nadu 600095,Maduravoyal,Maduravoyal",Tiruvallur,,
CHC - SKS HOSPITAL,"959, TVS Ave Main Rd, TVS Colony, Anna Nagar West Extension, Chennai, Tamil Nadu 600101,Avadi",Tiruvallur,,
