"District" "HospitalName"
"Tiruppur" "CHC - Sakthi Nursing home"
"Tiruppur" "CHC - Saravana medical center"
"Tiruppur" " CCC - Semmipalayam"
"Tiruppur" " CHC - Sowmiya Hospital, Perumanallur"
"Tiruppur" " CCC - Sowmiya Hospital, Perumanallur Tiruppur TN."
"Tiruppur" "CHC - Sri Karunambikai Hospital, Avinashi"
"Tiruppur" "CHC - Sri Kumaran Hospital, Tirupur TN."
"Tiruppur" " CHC - Sri Kuppusamy Hospital, Vellakovil"
"Tiruppur" " CCC - Sri kuppusamy hospital Tiruppur TN."
"Tiruppur" " CHC - T.M.F Hospital, Sabapathipuram, Tirupur"
"Tiruppur" "CCC - TIRUPPUR SEVA SAMITI"
"Tiruppur" " CCC - Thayampalayam"
"Tiruppur" "CHO - Tiruppur MCH"
"Tiruppur" "CHO - Tirupur Chest Hospital, Kumar Nagar"
"Tiruppur" " CCC - Udhayam Childrens Clinic, Vidyalayam, Tirupur"
"Tiruppur" " CHC - UdhayamChildrens Clinic, Vidyalayam"
"Tiruppur" "CHC - Udumalpet GH"
"Tiruppur" "CHC - Uthukuli GH"
"Tiruppur" "CHC - Vel Hospital,Dharapuram"
"Tiruppur" "CHC - Vel Hospital,Udumelpet"
"Tiruppur" "CHC - Velan Hospital,Gandhi Road,Avinashi, Tirupur TN."
"Tiruppur" " CCC - muthur"
"Tirunelveli" "CHC - Annai Velankanni Multi Speciality Hospital, Palayamkottai"
"Tirunelveli" "CCC - Beedi Worker Hospital, Mukkudal"
"Tirunelveli" " CHC - CSI Bellpins Indirani Chelladurai Mission Hospital, Palayamkottai"
"Tirunelveli" "CHO - CSI Bellpins Mission  Indrani Chelladurai Mission Hospital, Tirunelveli"
"Tirunelveli" " CHC - Chella Surya Hospital, Tirunelveli"
"Tirunelveli" "CCC - Corporation Marriage Hall"
"Tirunelveli" " CHC - Dr.Ashraf ortho hospital"
"Tirunelveli" "CCC - FX Polytechnic, Tharuvai"
"Tirunelveli" " CCC - GandhiMathi School	"
